batter,runs,balls,fours,sixes,strike_rate
V Kohli,8014,6236,708,273,128.51186658114176
S Dhawan,6769,5483,768,153,123.45431333211745
RG Sharma,6630,5183,599,281,127.91819409608335
DA Warner,6567,4849,663,236,135.4299855640338
SK Raina,5536,4177,506,204,132.53531242518554
MS Dhoni,5243,3947,363,252,132.8350646060299
AB de Villiers,5181,3487,414,253,148.58044164037855
CH Gayle,4997,3516,408,359,142.1217292377702
RV Uthappa,4954,3927,481,182,126.15227909345556
KD Karthik,4843,3687,466,161,131.35340385136968
KL Rahul,4689,3578,400,187,131.05086640581328
AM Rahane,4642,3858,479,103,120.32141005702437
F du Plessis,4571,3435,422,166,133.07132459970887
SV Samson,4419,3270,352,206,135.1376146788991
AT Rayudu,4348,3490,359,173,124.58452722063038
G Gambhir,4217,3524,492,59,119.66515323496027
SR Watson,3880,2892,377,190,134.1632088520055
MK Pandey,3859,3288,335,111,117.36618004866179
SA Yadav,3594,2522,385,130,142.50594766058683
JC Buttler,3583,2519,356,161,142.23898372369987
KA Pollard,3437,2447,221,224,140.45770331017573
RR Pant,3297,2296,298,154,143.59756097560975
YK Pathan,3222,2334,263,161,138.04627249357327
Shubman Gill,3216,2432,310,95,132.23684210526315
Q de Kock,3160,2410,316,123,131.12033195020746
SS Iyer,3131,2545,272,113,123.02554027504911
RA Jadeja,2959,2378,215,107,124.4322960470984
WP Saha,2934,2368,296,87,123.90202702702702
DA Miller,2924,2171,207,134,134.68447719944726
BB McCullum,2882,2272,293,130,126.84859154929578
PA Patel,2848,2442,365,49,116.62571662571663
GJ Maxwell,2772,1842,233,160,150.4885993485342
Yuvraj Singh,2754,2207,218,149,124.78477571363842
V Sehwag,2728,1833,334,106,148.82705946535734
MA Agarwal,2669,2081,265,98,128.25564632388276
Ishan Kishan,2644,1991,255,119,132.79758915118032
N Rana,2636,2015,234,132,130.81885856079404
M Vijay,2619,2208,247,91,118.61413043478262
HH Pandya,2534,1814,189,137,139.69128996692393
SPD Smith,2495,1999,226,60,124.81240620310155
SE Marsh,2489,1913,269,78,130.10977522216413
AD Russell,2488,1515,171,209,164.22442244224422
JH Kallis,2427,2291,255,44,105.93627237014405
DR Smith,2385,1803,245,117,132.27953410981698
RD Gaikwad,2380,1781,217,91,133.63279056709715
SR Tendulkar,2334,2044,296,29,114.18786692759295
RA Tripathi,2236,1650,223,84,135.51515151515153
R Dravid,2174,1918,269,28,113.34723670490095
KS Williamson,2132,1734,187,64,122.95271049596307
AJ Finch,2092,1696,214,78,123.34905660377358
AC Gilchrist,2069,1555,239,92,133.05466237942122
JP Duminy,2029,1680,126,79,120.77380952380952
MEK Hussey,1977,1648,198,52,119.96359223300972
PP Shaw,1892,1321,238,61,143.22482967448903
MP Stoinis,1866,1366,150,91,136.60322108345534
DPMD Jayawardene,1808,1522,200,40,118.7910643889619
N Pooran,1769,1143,113,127,154.7681539807524
Mandeep Singh,1706,1418,176,38,120.31029619181946
MK Tiwary,1695,1489,156,40,113.83478844862324
KC Sangakkara,1687,1424,195,27,118.4691011235955
AR Patel,1653,1318,107,79,125.41729893778452
KH Pandya,1647,1287,144,61,127.97202797202797
YBK Jaiswal,1607,1095,199,64,146.7579908675799
JM Bairstow,1589,1132,166,69,140.37102473498234
DJ Bravo,1560,1247,120,66,125.10024057738573
D Padikkal,1559,1323,170,42,117.83824640967498
NV Ojha,1554,1360,121,79,114.26470588235293
SP Narine,1534,984,164,97,155.8943089430894
S Dube,1502,1077,86,101,139.46146703806872
KK Nair,1496,1192,161,39,125.503355704698
SS Tiwary,1494,1291,111,50,115.72424477149497
DJ Hooda,1466,1170,96,61,125.2991452991453
S Badrinath,1441,1245,154,28,115.74297188755021
EJG Morgan,1406,1181,112,64,119.05165114309906
BJ Hodge,1400,1153,122,43,121.42237640936686
Abhishek Sharma,1377,925,128,73,148.86486486486484
SC Ganguly,1349,1326,137,42,101.73453996983409
CA Lynn,1329,974,132,66,136.4476386036961
VR Iyer,1326,1000,121,61,132.6
DJ Hussey,1322,1101,90,60,120.07266121707538
SO Hetmyer,1243,854,76,82,145.5503512880562
KM Jadhav,1208,1012,102,40,119.36758893280633
R Parag,1173,909,84,60,129.04290429042905
MM Ali,1162,849,95,67,136.86690223792698
Tilak Varma,1156,830,90,58,139.27710843373492
TM Dilshan,1153,1047,140,24,110.12416427889207
IK Pathan,1150,985,88,38,116.75126903553299
V Shankar,1115,890,80,45,125.2808988764045
ML Hayden,1107,839,121,44,131.94278903456495
M Vohra,1083,863,104,43,125.49246813441484
LMP Simmons,1079,878,109,44,122.89293849658314
B Sai Sudharsan,1034,770,95,32,134.28571428571428
LRPL Taylor,1017,847,66,46,120.07083825265643
R Tewatia,1013,788,84,47,128.55329949238578
KP Pietersen,1001,758,91,40,132.05804749340368
MC Henriques,1000,801,87,28,124.84394506866417
AK Markram,995,787,73,35,126.4294790343075
H Klaasen,993,613,56,64,161.99021207177816
Y Venugopal Rao,985,865,77,37,113.87283236994219
JA Morkel,975,712,61,55,136.93820224719101
A Symonds,974,781,74,41,124.71190781049937
CL White,971,774,76,38,125.45219638242895
LS Livingstone,939,609,66,66,154.1871921182266
BA Stokes,935,718,81,32,130.22284122562675
DP Conway,924,669,100,30,138.11659192825113
RK Singh,893,654,67,46,136.54434250764527
HH Gibbs,886,837,83,31,105.8542413381123
SM Curran,883,673,74,37,131.2035661218425
STR Binny,880,700,66,35,125.71428571428571
Harbhajan Singh,833,636,79,42,130.9748427672956
R Ashwin,800,698,61,28,114.61318051575931
RM Patidar,799,534,51,54,149.625468164794
MS Bisla,798,737,93,23,108.27679782903662
Shakib Al Hasan,795,665,73,21,119.54887218045114
TM Head,772,458,76,40,168.5589519650655
ST Jayasuriya,768,573,84,39,134.03141361256544
P Simran Singh,756,528,78,41,143.1818181818182
GC Smith,739,691,94,9,106.9464544138929
JM Sharma,730,501,53,45,145.70858283433134
AD Mathews,724,599,44,29,120.86811352253757
C Green,707,472,62,32,149.78813559322032
TL Suman,676,587,55,26,115.1618398637138
AM Nayar,672,588,55,20,114.28571428571428
MR Marsh,665,532,48,38,125.0
GJ Bailey,663,552,59,19,120.1086956521739
TH David,659,417,38,46,158.0335731414868
E Lewis,654,499,62,36,131.06212424849699
PD Salt,653,385,74,34,169.6103896103896
A Badoni,634,505,46,24,125.54455445544555
PP Chawla,624,580,56,20,107.58620689655172
CH Morris,618,413,41,35,149.636803874092
JJ Roy,614,460,75,21,133.47826086956522
JD Ryder,604,466,69,19,129.6137339055794
SN Khan,585,456,63,14,128.28947368421052
Abdul Samad,579,408,37,36,141.91176470588235
HM Amla,577,418,60,21,138.03827751196172
M Shahrukh Khan,553,413,35,37,133.89830508474577
Rashid Khan,545,355,39,38,153.52112676056336
CJ Anderson,538,436,40,31,123.39449541284404
Shahbaz Ahmed,536,467,28,25,114.77516059957173
RS Bopara,531,468,39,16,113.46153846153845
MK Lomror,527,389,33,30,135.47557840616966
JP Faulkner,527,406,36,23,129.80295566502463
PJ Cummins,515,359,33,34,143.4540389972145
M Manhas,514,486,43,10,105.76131687242798
Gurkeerat Singh,511,436,55,11,117.20183486238531
OA Shah,506,405,34,23,124.93827160493827
PC Valthaty,505,432,61,20,116.89814814814814
SW Billings,503,399,40,20,126.06516290726817
RR Rossouw,473,321,45,25,147.35202492211837
DT Christian,460,408,23,19,112.74509803921569
NLTC Perera,424,326,23,26,130.06134969325154
Shashank Singh,423,272,33,25,155.51470588235296
SA Asnodkar,423,352,56,10,120.17045454545455
JR Hopes,417,314,49,11,132.80254777070064
J Botha,409,364,39,5,112.36263736263736
LR Shukla,405,358,33,16,113.12849162011173
T Stubbs,405,239,26,26,169.4560669456067
AL Menaria,401,367,24,18,109.26430517711172
MV Boucher,394,318,32,13,123.89937106918238
CA Pujara,390,403,50,4,96.7741935483871
Azhar Mahmood,388,311,39,13,124.7588424437299
A Mishra,381,440,31,5,86.5909090909091
KR Mayers,379,276,38,22,137.31884057971016
Washington Sundar,378,341,32,9,110.85043988269794
DB Ravi Teja,375,325,35,9,115.38461538461537
S Sohal,368,311,34,18,118.32797427652733
P Negi,365,301,27,16,121.26245847176081
Abishek Porel,360,244,37,15,147.54098360655738
R Powell,360,254,21,28,141.73228346456693
KV Sharma,351,306,20,17,114.70588235294117
DJ Mitchell,351,274,28,10,128.1021897810219
N Wadhera,350,261,32,18,134.09961685823754
Dhruv Jurel,347,237,29,16,146.41350210970467
R Bhatia,342,290,24,13,117.9310344827586
P Kumar,340,323,22,17,105.26315789473684
AP Tare,339,285,40,11,118.94736842105263
J Fraser-McGurk,330,150,32,28,220.00000000000003
JEC Franklin,327,309,25,9,105.8252427184466
RN ten Doeschate,326,238,26,15,136.9747899159664
Anuj Rawat,318,276,26,14,115.21739130434783
R Vinay Kumar,310,289,21,9,107.26643598615917
SN Thakur,307,228,27,13,134.64912280701756
B Kumar,306,338,30,3,90.53254437869822
Lalit Yadav,305,301,27,7,101.32890365448506
DB Das,304,267,23,16,113.85767790262172
Nithish Kumar Reddy,303,221,15,21,137.10407239819006
C de Grandhomme,303,229,18,18,132.31441048034935
LA Pomersbach,302,251,25,13,120.3187250996016
UBT Chand,300,314,32,9,95.54140127388536
DJG Sammy,295,251,15,18,117.52988047808766
SP Goswami,293,307,32,3,95.43973941368078
Rahmanullah Gurbaz,289,228,24,19,126.75438596491229
Y Nagar,285,271,20,9,105.1660516605166
GH Vihari,284,331,23,1,85.80060422960725
VVS Laxman,282,271,33,5,104.0590405904059
B Chipli,280,256,28,7,109.375
A Ashish Reddy,280,196,16,15,142.85714285714286
MJ Lumb,278,198,45,6,140.4040404040404
PBB Rajapaksa,277,201,22,15,137.81094527363186
PK Garg,273,247,16,9,110.5263157894737
MJ Guptill,271,197,24,15,137.56345177664974
R Sathish,270,236,22,6,114.40677966101696
JO Holder,259,217,13,18,119.35483870967742
M Kaif,259,258,22,6,100.3875968992248
HV Patel,249,214,16,15,116.35514018691589
K Gowtham,247,159,15,17,155.34591194968556
Atharva Taide,247,177,27,8,139.54802259887003
SM Katich,241,191,26,8,126.17801047120419
BCJ Cutting,238,146,15,19,163.013698630137
MD Mishra,237,213,24,8,111.26760563380283
Harpreet Brar,233,201,19,9,115.92039800995025
A Manohar,231,181,21,10,127.62430939226519
WG Jacks,230,133,16,18,172.93233082706766
D Brevis,230,176,17,16,130.6818181818182
R Ravindra,222,146,22,12,152.05479452054794
Mohammad Nabi,221,157,18,12,140.76433121019107
K Goel,218,239,17,9,91.21338912133892
AA Jhunjhunwala,217,218,19,5,99.54128440366972
R Dhawan,210,188,18,7,111.70212765957446
UT Yadav,208,211,16,9,98.5781990521327
K Rabada,206,207,16,8,99.51690821256038
CA Ingram,205,183,22,5,112.02185792349727
PD Collingwood,203,159,9,13,127.67295597484276
KS Bharat,199,168,12,8,118.45238095238095
JC Archer,199,132,11,14,150.75757575757575
SK Warne,198,219,14,6,90.41095890410958
JD Unadkat,197,170,16,7,115.88235294117648
SP Fleming,196,171,27,3,114.61988304093566
AS Raut,194,172,13,7,112.79069767441861
BJ Rohrer,193,146,21,5,132.1917808219178
Salman Butt,193,172,30,2,112.20930232558139
YV Takawale,192,183,26,3,104.91803278688525
HC Brook,190,159,23,4,119.49685534591194
Ashutosh Sharma,189,118,10,15,160.16949152542372
Bipul Sharma,187,124,11,9,150.80645161290323
MS Wade,183,185,23,2,98.91891891891892
SD Hope,183,125,12,12,146.4
FY Fazal,183,179,22,1,102.23463687150837
Kuldeep Yadav,183,224,16,3,81.69642857142857
Sikandar Raza,182,143,12,8,127.27272727272727
CR Brathwaite,181,120,10,16,150.83333333333334
AC Voges,181,143,15,3,126.57342657342659
S Gopal,180,173,19,2,104.04624277456647
AB Agarkar,179,160,13,5,111.87499999999999
C Munro,177,144,19,8,122.91666666666667
MF Maharoof,177,124,12,9,142.74193548387098
Ramandeep Singh,170,106,8,13,160.37735849056605
DH Yagnik,170,142,23,2,119.71830985915493
CM Gautam,169,158,17,6,106.9620253164557
MN van Wyk,167,135,19,1,123.7037037037037
MG Johnson,167,168,10,7,99.40476190476191
DW Steyn,167,163,14,3,102.45398773006136
PA Reddy,164,167,15,2,98.20359281437125
A Raghuvanshi,163,109,16,8,149.54128440366972
N Jagadeesan,162,155,21,2,104.51612903225806
MN Samuels,161,174,9,7,92.52873563218391
R McLaren,159,178,14,1,89.32584269662921
RE van der Merwe,159,144,11,8,110.41666666666667
AD Hales,148,119,13,6,124.36974789915966
D Wiese,148,105,12,7,140.95238095238096
SM Pollock,147,116,12,8,126.72413793103448
S Vidyut,145,115,21,3,126.08695652173914
Sachin Baby,144,123,11,5,117.07317073170731
Naman Dhir,140,84,12,10,166.66666666666669
N Saini,140,143,16,0,97.9020979020979
Anmolpreet Singh,139,117,19,3,118.80341880341881
S Anirudha,136,121,9,7,112.39669421487604
SB Styris,131,134,10,3,97.76119402985076
W Jaffer,130,129,14,3,100.7751937984496
RD Chahar,129,127,13,5,101.5748031496063
Kamran Akmal,128,78,13,8,164.1025641025641
TK Curran,127,108,10,3,117.59259259259258
P Dogra,127,141,4,5,90.0709219858156
UT Khawaja,127,105,14,3,120.95238095238095
SS Prabhudessai,126,113,11,4,111.50442477876106
M Morkel,126,93,11,5,135.48387096774192
MC Juneja,125,134,11,1,93.28358208955224
BB Samantray,125,116,13,2,107.75862068965519
B Lee,124,102,8,8,121.56862745098039
MM Sharma,124,137,9,4,90.51094890510949
AB McDonald,123,103,9,4,119.41747572815532
Harpreet Singh,123,119,10,3,103.36134453781514
NK Patel,121,124,14,1,97.58064516129032
DL Vettori,121,118,11,2,102.54237288135593
AC Blizzard,120,91,21,2,131.86813186813185
TG Southee,120,108,8,4,111.11111111111111
Misbah-ul-Haq,117,82,10,6,142.6829268292683
RJ Harris,117,112,6,3,104.46428571428572
Z Khan,117,141,11,2,82.97872340425532
MW Short,117,99,15,4,118.18181818181819
KK Cooper,116,70,9,8,165.71428571428572
Aman Hakim Khan,115,109,8,6,105.50458715596329
DJM Short,115,102,11,5,112.74509803921569
R Shepherd,115,68,7,10,169.11764705882354
M Kartik,113,109,7,1,103.6697247706422
DJ Harris,111,103,11,5,107.76699029126213
Mohammed Siraj,109,122,10,4,89.34426229508196
SE Rutherford,106,107,3,8,99.06542056074767
LJ Wright,106,63,16,3,168.25396825396825
JDP Oram,106,110,6,5,96.36363636363636
MA Starc,105,109,11,0,96.3302752293578
DS Kulkarni,104,113,7,2,92.03539823008849
RJ Quiney,103,105,12,3,98.09523809523809
SD Chitnis,99,92,10,2,107.6086956521739
MS Gony,99,76,6,8,130.26315789473685
MJ Clarke,98,96,12,0,102.08333333333333
CJ Ferguson,98,119,9,0,82.35294117647058
PN Mankad,97,75,13,2,129.33333333333331
Arshad Khan,96,67,5,6,143.28358208955223
DJ Jacobs,92,101,10,4,91.0891089108911
JDS Neesham,92,93,6,2,98.9247311827957
PR Shah,92,97,9,2,94.84536082474226
S Rana,91,82,9,1,110.97560975609757
RT Ponting,91,129,5,2,70.54263565891473
AJ Tye,91,79,6,5,115.18987341772151
AD Nath,90,99,7,2,90.9090909090909
SL Malinga,88,103,6,5,85.43689320388349
Iqbal Abdulla,88,86,9,1,102.32558139534885
AP Majumdar,87,77,7,2,112.98701298701299
Ankit Sharma,87,69,7,4,126.08695652173914
MJ McClenaghan,85,73,5,7,116.43835616438356
TA Boult,83,82,5,3,101.21951219512195
RE Levi,83,74,10,4,112.16216216216218
NM Coulter-Nile,82,75,7,4,109.33333333333333
LA Carseldine,81,71,11,0,114.08450704225352
CJ Jordan,81,81,3,3,100.0
