bowler,runs_conceded,balls,wickets,overs,economy
YS Chahal,4681,3628,205.0,604.6666666666666,7.741455347298787
PP Chawla,5179,3895,192.0,649.1666666666666,7.977920410783056
DJ Bravo,4436,3296,183.0,549.3333333333334,8.075242718446601
B Kumar,5051,4060,181.0,676.6666666666666,7.464532019704434
SP Narine,4672,4146,180.0,691.0,6.7612156295224315
R Ashwin,5435,4679,180.0,779.8333333333334,6.969437914084206
A Mishra,4193,3444,174.0,574.0,7.304878048780488
SL Malinga,3486,2974,170.0,495.6666666666667,7.032952252858103
JJ Bumrah,3840,3185,168.0,530.8333333333334,7.233908948194662
RA Jadeja,4917,3895,160.0,649.1666666666666,7.5743260590500645
Harbhajan Singh,4101,3496,150.0,582.6666666666666,7.0383295194508015
Rashid Khan,3340,2901,149.0,483.5,6.907962771458118
UT Yadav,4442,3190,144.0,531.6666666666666,8.354858934169279
Sandeep Sharma,3758,2925,137.0,487.5,7.708717948717949
HV Patel,3215,2284,135.0,380.6666666666667,8.44570928196147
MM Sharma,3278,2308,132.0,384.6666666666667,8.52166377816291
Mohammed Shami,3486,2521,127.0,420.1666666666667,8.296707655692185
AR Patel,3824,3152,123.0,525.3333333333334,7.279187817258883
TA Boult,3286,2428,121.0,404.6666666666667,8.120263591433279
K Rabada,2652,1907,120.0,317.8333333333333,8.34399580492921
AD Russell,2691,1771,115.0,295.1666666666667,9.116883116883116
A Nehra,2537,1974,106.0,329.0,7.711246200607903
R Vinay Kumar,3041,2186,105.0,364.3333333333333,8.346752058554438
Z Khan,2860,2276,102.0,379.3333333333333,7.539543057996485
JD Unadkat,3219,2194,99.0,365.6666666666667,8.803099361896079
DW Steyn,2583,2282,97.0,380.3333333333333,6.791411042944786
CH Morris,2377,1801,96.0,300.1666666666667,7.91893392559689
SN Thakur,2908,1979,94.0,329.8333333333333,8.816574027286508
Mohammed Siraj,2894,2081,93.0,346.8333333333333,8.34406535319558
SR Watson,2742,2137,92.0,356.1666666666667,7.698642957416939
I Sharma,3255,2429,92.0,404.8333333333333,8.04034582132565
P Kumar,3342,2637,90.0,439.5,7.604095563139932
RP Singh,2417,1874,90.0,312.3333333333333,7.738527214514408
PP Ojha,2399,1945,89.0,324.1666666666667,7.40051413881748
Kuldeep Yadav,2413,1786,87.0,297.6666666666667,8.106382978723405
DS Kulkarni,2513,1876,86.0,312.6666666666667,8.03731343283582
JA Morkel,2409,1807,85.0,301.1666666666667,7.998893193137797
CV Varun,2042,1624,83.0,270.6666666666667,7.544334975369457
Imran Tahir,1729,1340,82.0,223.33333333333334,7.741791044776119
IK Pathan,2711,2113,80.0,352.1666666666667,7.698059630856601
M Morkel,2136,1699,77.0,283.1666666666667,7.543260741612713
DL Chahar,2243,1746,77.0,291.0,7.707903780068729
KH Pandya,2644,2183,76.0,363.8333333333333,7.267063673843335
L Balaji,2083,1574,76.0,262.3333333333333,7.940279542566709
KV Sharma,2130,1520,76.0,253.33333333333334,8.407894736842104
Arshdeep Singh,2097,1453,76.0,242.16666666666666,8.659325533379215
RD Chahar,2165,1697,75.0,282.8333333333333,7.65468473777254
Avesh Khan,2010,1390,75.0,231.66666666666666,8.676258992805757
MM Patel,1733,1382,74.0,230.33333333333334,7.523878437047757
KK Ahmed,1918,1345,74.0,224.16666666666666,8.556133828996282
R Bhatia,2059,1661,71.0,276.8333333333333,7.437688139674895
MJ McClenaghan,1839,1346,71.0,224.33333333333334,8.197622585438335
AB Dinda,2103,1589,69.0,264.8333333333333,7.940843297671492
KA Pollard,2200,1586,69.0,264.3333333333333,8.32282471626734
T Natarajan,2001,1401,67.0,233.5,8.569593147751606
SK Trivedi,1944,1557,65.0,259.5,7.491329479768786
JH Kallis,2348,1799,65.0,299.8333333333333,7.8310172317954425
M Muralitharan,1765,1581,64.0,263.5,6.698292220113852
HH Pandya,2196,1485,64.0,247.5,8.872727272727273
Shakib Al Hasan,1864,1515,63.0,252.5,7.3821782178217825
Ravi Bishnoi,1861,1460,63.0,243.33333333333334,7.647945205479452
PJ Cummins,1976,1370,63.0,228.33333333333334,8.654014598540146
MG Johnson,1740,1301,62.0,216.83333333333334,8.024596464258263
Mustafizur Rahman,1792,1353,61.0,225.5,7.946784922394679
JP Faulkner,1849,1287,61.0,214.5,8.62004662004662
A Nortje,1614,1097,60.0,182.83333333333334,8.82771194165907
S Kaul,1772,1238,58.0,206.33333333333334,8.588045234248789
SM Curran,1924,1234,58.0,205.66666666666666,9.354943273905997
SK Warne,1465,1223,57.0,203.83333333333334,7.187244480784955
JO Holder,1489,1049,53.0,174.83333333333334,8.516682554814109
S Gopal,1358,1000,52.0,166.66666666666666,8.148
MA Starc,1175,879,51.0,146.5,8.020477815699659
M Prasidh Krishna,1741,1231,50.0,205.16666666666666,8.48578391551584
JC Archer,1210,987,48.0,164.5,7.355623100303951
S Nadeem,1800,1444,48.0,240.66666666666666,7.4792243767313025
NM Coulter-Nile,1125,892,48.0,148.66666666666666,7.567264573991032
LH Ferguson,1451,1002,48.0,167.0,8.688622754491018
SB Jakati,1474,1101,47.0,183.5,8.032697547683924
TG Southee,1774,1262,47.0,210.33333333333334,8.434231378763867
A Kumble,1089,983,45.0,163.83333333333334,6.646998982706002
RJ Harris,1085,865,45.0,144.16666666666666,7.526011560693642
S Aravind,1057,788,45.0,131.33333333333334,8.048223350253807
VR Aaron,1527,1065,44.0,177.5,8.60281690140845
MP Stoinis,1300,831,43.0,138.5,9.386281588447654
YK Pathan,1443,1184,42.0,197.33333333333334,7.3125
MC Henriques,1302,979,42.0,163.16666666666666,7.9795709908069465
AJ Tye,1005,714,42.0,119.0,8.445378151260504
TU Deshpande,1275,831,42.0,138.5,9.205776173285198
R Sharma,1100,935,40.0,155.83333333333334,7.0588235294117645
Iqbal Abdulla,1125,943,40.0,157.16666666666666,7.158006362672323
S Sreesanth,1221,947,40.0,157.83333333333334,7.736008447729672
P Awana,1046,774,39.0,129.0,8.108527131782946
DT Christian,1218,922,38.0,153.66666666666666,7.926247288503254
PJ Sangwan,1267,905,38.0,150.83333333333334,8.4
DE Bollinger,716,600,37.0,100.0,7.16
Washington Sundar,1335,1064,37.0,177.33333333333334,7.5281954887218046
MR Marsh,803,593,37.0,98.83333333333333,8.1247892074199
GJ Maxwell,1311,965,37.0,160.83333333333334,8.151295336787564
MS Gony,1317,925,37.0,154.16666666666666,8.542702702702703
M Markande,1081,737,37.0,122.83333333333333,8.800542740841248
Yuvraj Singh,1091,882,36.0,147.0,7.421768707482993
MM Ali,900,770,35.0,128.33333333333334,7.012987012987012
WD Parnell,968,758,35.0,126.33333333333333,7.6622691292875995
M Ashwin,1182,898,35.0,149.66666666666666,7.8975501113585755
JR Hazlewood,830,622,35.0,103.66666666666667,8.006430868167202
PWH de Silva,758,557,35.0,92.83333333333333,8.165170556552964
M Pathirana,617,503,34.0,83.83333333333333,7.359840954274354
P Negi,954,733,34.0,122.16666666666667,7.80900409276944
KK Cooper,789,600,33.0,100.0,7.89
R Tewatia,1117,866,32.0,144.33333333333334,7.739030023094688
M Kartik,1418,1182,31.0,197.0,7.197969543147208
NLTC Perera,1031,715,31.0,119.16666666666667,8.651748251748252
Shivam Mavi,958,687,30.0,114.5,8.366812227074236
CR Woakes,674,463,30.0,77.16666666666667,8.734341252699783
CJ Jordan,1111,717,30.0,119.5,9.297071129707113
Azhar Mahmood,707,552,29.0,92.0,7.684782608695652
A Zampa,562,425,29.0,70.83333333333333,7.934117647058824
AB Agarkar,1174,820,29.0,136.66666666666666,8.590243902439026
Umran Malik,785,519,29.0,86.5,9.07514450867052
DL Vettori,894,785,28.0,130.83333333333334,6.83312101910828
DP Nannes,815,689,28.0,114.83333333333333,7.097242380261249
PV Tambe,866,674,28.0,112.33333333333333,7.70919881305638
A Singh,639,486,28.0,81.0,7.888888888888889
BA Stokes,1023,723,28.0,120.5,8.489626556016598
Yash Dayal,933,615,28.0,102.5,9.102439024390243
MF Maharoof,532,441,27.0,73.5,7.238095238095238
Harmeet Singh,747,574,27.0,95.66666666666667,7.808362369337979
AD Mathews,1095,807,27.0,134.5,8.141263940520446
Mohsin Khan,698,507,27.0,84.5,8.2603550295858
DR Smith,825,557,26.0,92.83333333333333,8.88689407540395
J Botha,818,709,25.0,118.16666666666667,6.922425952045134
SK Raina,1139,930,25.0,155.0,7.348387096774194
B Lee,1126,916,25.0,152.66666666666666,7.3755458515283845
M Theekshana,814,631,25.0,105.16666666666667,7.740095087163232
Harpreet Brar,907,692,25.0,115.33333333333333,7.864161849710983
R Dhawan,922,693,25.0,115.5,7.982683982683983
L Ngidi,460,342,25.0,57.0,8.070175438596491
Harshit Rana,590,403,25.0,67.16666666666667,8.784119106699752
Naveen-ul-Haq,602,407,25.0,67.83333333333333,8.874692874692876
Mukesh Kumar,707,420,25.0,70.0,10.1
Noor Ahmad,672,513,24.0,85.5,7.859649122807017
Navdeep Saini,968,682,24.0,113.66666666666667,8.516129032258064
AS Rajpoot,844,567,24.0,94.5,8.931216931216932
Yash Thakur,702,432,24.0,72.0,9.75
JP Duminy,847,701,23.0,116.83333333333333,7.249643366619116
SW Tait,668,534,23.0,89.0,7.50561797752809
GB Hogg,585,466,23.0,77.66666666666667,7.532188841201716
Sohail Tanvir,275,265,22.0,44.166666666666664,6.226415094339623
