season,matches,avg_result_margin,super_overs
2007/08,58,15.96551724137931,0
2009,57,16.857142857142858,1
2009/10,60,19.76271186440678,1
2011,73,18.930555555555557,0
2012,74,16.22972972972973,0
2013,76,19.83783783783784,2
2014,60,14.728813559322035,1
2015,59,17.821428571428573,1
2016,60,15.333333333333334,0
2017,59,17.103448275862068,1
2018,60,14.35,0
2019,60,15.210526315789474,2
2020/21,60,22.589285714285715,4
2021,60,13.576271186440678,1
2022,74,16.972972972972972,0
2023,74,19.246575342465754,0
2024,71,17.87323943661972,0
