season,team,matches_played,wins,losses,win_pct
2007/08,Royal Challengers Bangalore,14,4,10,28.57142857142857
2007/08,Kings XI Punjab,15,10,5,66.66666666666666
2007/08,Delhi Daredevils,14,7,7,50.0
2007/08,Mumbai Indians,14,7,7,50.0
2007/08,Kolkata Knight Riders,13,6,7,46.15384615384615
2007/08,Rajasthan Royals,16,13,3,81.25
2007/08,Deccan Chargers,14,2,12,14.285714285714285
2007/08,Chennai Super Kings,16,9,7,56.25
2009,Chennai Super Kings,14,8,6,57.14285714285714
2009,Royal Challengers Bangalore,16,9,7,56.25
2009,Delhi Daredevils,15,10,5,66.66666666666666
2009,Deccan Chargers,16,9,7,56.25
2009,Kings XI Punjab,14,7,7,50.0
2009,Kolkata Knight Riders,13,3,10,23.076923076923077
2009,Mumbai Indians,13,5,8,38.46153846153847
2009,Rajasthan Royals,13,6,7,46.15384615384615
2009/10,Deccan Chargers,16,8,8,50.0
2009/10,Mumbai Indians,16,11,5,68.75
2009/10,Kings XI Punjab,14,4,10,28.57142857142857
2009/10,Kolkata Knight Riders,14,7,7,50.0
2009/10,Chennai Super Kings,16,9,7,56.25
2009/10,Rajasthan Royals,14,6,8,42.857142857142854
2009/10,Royal Challengers Bangalore,16,8,8,50.0
2009/10,Delhi Daredevils,14,7,7,50.0
2011,Chennai Super Kings,16,11,5,68.75
2011,Deccan Chargers,14,6,8,42.857142857142854
2011,Kochi Tuskers Kerala,14,6,8,42.857142857142854
2011,Delhi Daredevils,14,4,10,28.57142857142857
2011,Pune Warriors,14,4,10,28.57142857142857
2011,Kolkata Knight Riders,15,8,7,53.333333333333336
2011,Rajasthan Royals,13,6,7,46.15384615384615
2011,Royal Challengers Bangalore,16,10,6,62.5
2011,Kings XI Punjab,14,7,7,50.0
2011,Mumbai Indians,16,10,6,62.5
2012,Chennai Super Kings,18,10,8,55.55555555555556
2012,Kolkata Knight Riders,17,12,5,70.58823529411765
2012,Mumbai Indians,17,10,7,58.82352941176471
2012,Rajasthan Royals,16,7,9,43.75
2012,Royal Challengers Bangalore,15,8,7,53.333333333333336
2012,Deccan Chargers,15,4,11,26.666666666666668
2012,Pune Warriors,16,4,12,25.0
2012,Delhi Daredevils,18,11,7,61.111111111111114
2012,Kings XI Punjab,16,8,8,50.0
2013,Kolkata Knight Riders,16,6,10,37.5
2013,Royal Challengers Bangalore,16,9,7,56.25
2013,Sunrisers Hyderabad,17,10,7,58.82352941176471
2013,Delhi Daredevils,16,3,13,18.75
2013,Chennai Super Kings,18,12,6,66.66666666666666
2013,Pune Warriors,16,4,12,25.0
2013,Rajasthan Royals,18,11,7,61.111111111111114
2013,Mumbai Indians,19,13,6,68.42105263157895
2013,Kings XI Punjab,16,8,8,50.0
2014,Mumbai Indians,15,7,8,46.666666666666664
2014,Delhi Daredevils,14,2,12,14.285714285714285
2014,Chennai Super Kings,16,10,6,62.5
2014,Sunrisers Hyderabad,14,6,8,42.857142857142854
2014,Royal Challengers Bangalore,14,5,9,35.714285714285715
2014,Kolkata Knight Riders,16,11,5,68.75
2014,Rajasthan Royals,14,7,7,50.0
2014,Kings XI Punjab,17,12,5,70.58823529411765
2015,Kolkata Knight Riders,13,7,6,53.84615384615385
2015,Chennai Super Kings,17,10,7,58.82352941176471
2015,Kings XI Punjab,14,3,11,21.428571428571427
2015,Delhi Daredevils,14,5,9,35.714285714285715
2015,Mumbai Indians,16,10,6,62.5
2015,Royal Challengers Bangalore,16,8,8,50.0
2015,Rajasthan Royals,14,7,7,50.0
2015,Sunrisers Hyderabad,14,7,7,50.0
2016,Mumbai Indians,14,7,7,50.0
2016,Kolkata Knight Riders,15,8,7,53.333333333333336
2016,Kings XI Punjab,14,4,10,28.57142857142857
2016,Royal Challengers Bangalore,16,9,7,56.25
2016,Gujarat Lions,16,9,7,56.25
2016,Delhi Daredevils,14,7,7,50.0
2016,Sunrisers Hyderabad,17,11,6,64.70588235294117
2016,Rising Pune Supergiants,14,5,9,35.714285714285715
2017,Sunrisers Hyderabad,14,8,6,57.14285714285714
2017,Rising Pune Supergiant,16,10,6,62.5
2017,Gujarat Lions,14,4,10,28.57142857142857
2017,Kings XI Punjab,14,7,7,50.0
